D3,D3,0
D3,D3,0
D3,F#3,4
F#3,D3,-4
D3,A3,7
A3,D3,-7
D3,D4,0
D4,D3,0
D3,D3,0
D3,D3,0
D3,F#3,4
F#3,D3,-4
D3,A3,7
A3,D3,-7
D3,D4,0
D4,B3,-3
B3,D3,-9
D3,G3,5
G3,B3,4
B3,C#4,2
C#4,D4,1
D4,A3,-5
A3,D3,-7
D3,F#3,4
F#3,A3,3
A3,C#4,4
C#4,D4,1
D4,B3,-3
B3,D3,-9
D3,G3,5
G3,B3,4
B3,C#4,2
C#4,D4,1
D4,A3,-5
A3,D3,-7
D3,F#3,4
F#3,A3,3
A3,C#4,4
C#4,D4,1
D4,G3,-7
G3,E3,-3
E3,F#3,2
F#3,G3,1
G3,D3,-5
D3,F#3,4
F#3,G3,1
G3,C#3,-6
C#3,F#3,5
F#3,G3,1
G3,A2,-10
A2,G3,10
G3,F#3,-1
F#3,D3,-4
D3,E3,2
E3,F#3,2
F#3,C#3,-5
C#3,E3,3
E3,F#3,2
F#3,B2,-7
B2,D3,3
D3,F#3,4
F#3,A2,-9
A2,D3,5
D3,E3,2
E3,G#2,-8
G#2,D3,6
D3,E3,2
E3,A2,-7
A2,C#3,4
C#3,D3,1
D3,A2,-5
A2,C#3,4
C#3,D3,1
D3,G#2,-6
G#2,B2,3
B2,C#3,2
C#3,A2,-4
A2,C#3,4
C#3,E3,3
E3,F#3,2
F#3,G#3,2
G#3,A3,1
A3,C#3,-8
C#3,E3,3
E3,G#3,4
G#3,A3,1
A3,B3,2
B3,C#4,2
C#4,E3,-9
E3,G#3,4
G#3,A3,1
A3,C#4,4
C#4,D4,1
D4,E4,2
E4,A3,-7
A3,C#4,4
C#4,E4,3
E4,F#4,2
F#4,G#4,2
G#4,A4,1
A4,A3,0
A3,B3,2
B3,C#4,2
C#4,E4,3
E4,B3,-5
B3,C#4,2
C#4,A4,8
A4,E4,-5
E4,C#4,-3
C#4,E4,3
E4,C#4,-3
C#4,A3,-4
A3,A4,0
A4,B3,-10
B3,C#4,2
C#4,E4,3
E4,B3,-5
B3,C#4,2
C#4,A4,8
A4,E4,-5
E4,C#4,-3
C#4,E4,3
E4,C#4,-3
C#4,A3,-4
A3,A3,0
A3,A3,0
A3,C#4,4
C#4,A3,-4
A3,E4,7
E4,A3,-7
A3,A4,0
A4,A3,0
A3,A3,0
A3,A3,0
A3,C#4,4
C#4,A3,-4
A3,E4,7
E4,A3,-7
A3,A4,0
A4,F#4,-3
F#4,A3,-9
A3,D4,5
D4,F#4,4
F#4,G#4,2
G#4,A4,1
A4,E4,-5
E4,A3,-7
A3,C#4,4
C#4,E4,3
E4,G#4,4
G#4,A4,1
A4,F#4,-3
F#4,A3,-9
A3,D4,5
D4,F#4,4
F#4,G#4,2
G#4,A4,1
A4,E4,-5
E4,A3,-7
A3,C#4,4
C#4,E4,3
E4,G#4,4
G#4,A4,1
A4,D4,-7
D4,B3,-3
B3,C#4,2
C#4,D4,1
D4,A3,-5
A3,C#4,4
C#4,D4,1
D4,G#3,-6
G#3,C#4,5
C#4,D4,1
D4,E3,-10
E3,D4,10
D4,C#4,-1
C#4,A3,-4
A3,B3,2
B3,C#4,2
C#4,G#3,-5
G#3,B3,3
B3,C#4,2
C#4,F#3,-7
F#3,A3,3
A3,C#4,4
C#4,E3,-9
E3,A3,5
A3,C4,3
C4,D#3,-9
D#3,C4,9
C4,B3,-1
B3,C4,1
C4,A3,-3
A3,F#4,9
F#4,A3,-9
A3,C4,3
C4,B3,-1
B3,C4,1
C4,A3,-3
A3,G3,-2
G3,E3,-3
E3,G3,3
G3,B3,4
B3,C#4,2
C#4,D#4,2
D#4,E4,1
E4,G3,-9
G3,B3,4
B3,D#4,4
D#4,E4,1
E4,F#4,2
F#4,G4,1
G4,B3,-8
B3,D#4,4
D#4,E4,1
E4,G4,3
G4,A4,2
A4,B4,2
B4,E4,-7
E4,G4,3
G4,B4,4
B4,C#5,2
C#5,D#5,2
D#5,E5,1
E5,E4,0
E4,F#4,2
F#4,G4,1
G4,B4,4
B4,F#4,-5
F#4,G4,1
G4,E5,9
E5,B4,-5
B4,G4,-4
G4,B4,4
B4,G4,-4
G4,E4,-3
E4,E5,0
E5,F#4,-10
F#4,G4,1
G4,B4,4
B4,F#4,-5
F#4,G4,1
G4,E5,9
E5,B4,-5
B4,G4,-4
G4,B4,4
B4,G4,-4
G4,E4,-3
E4,D#4,-1
D#4,E4,1
E4,F#4,2
F#4,G4,1
G4,F#4,-1
F#4,E4,-2
E4,D#4,-1
D#4,E4,1
E4,D#4,-1
D#4,E4,1
E4,F#4,2
F#4,G4,1
G4,F#4,-1
F#4,E4,-2
E4,D#4,-1
D#4,E4,1
E4,G4,3
G4,D#4,-4
D#4,F#4,3
F#4,E4,-2
E4,G4,3
G4,D#4,-4
D#4,F#4,3
F#4,E4,-2
E4,G4,3
G4,F#4,-1
F#4,A4,3
A4,G4,-2
G4,E4,-3
E4,F#4,2
F#4,A4,3
A4,G4,-2
G4,F#4,-1
F#4,G4,1
G4,A4,2
A4,B4,2
B4,A4,-2
A4,G4,-2
G4,F#4,-1
F#4,G4,1
G4,F#4,-1
F#4,G4,1
G4,A4,2
A4,B4,2
B4,A4,-2
A4,G4,-2
G4,F#4,-1
F#4,G4,1
G4,B4,4
B4,F#4,-5
F#4,A4,3
A4,G4,-2
G4,B4,4
B4,F#4,-5
F#4,A4,3
A4,G4,-2
G4,E4,-3
E4,F#4,2
F#4,D#4,-3
D#4,E4,1
E4,G4,3
G4,F#4,-1
F#4,D#4,-3
D#4,E4,1
E4,G4,3
G4,D4,-5
D4,F#4,4
F#4,C#4,-5
C#4,E4,3
E4,B3,-5
B3,D4,3
D4,A#3,-4
A#3,C#4,3
C#4,A#3,-3
A#3,C#4,3
C#4,F#3,-7
F#3,G4,1
G4,F#4,-1
F#4,E4,-2
E4,D4,-2
D4,C#4,-1
C#4,D4,1
D4,B3,-3
B3,F#4,7
F#4,D4,-4
D4,B3,-3
B3,F#4,7
F#4,D4,-4
D4,B3,-3
B3,C#4,2
C#4,D4,1
D4,E4,2
E4,F#4,2
F#4,G3,-11
G3,B3,4
B3,D4,3
D4,F#4,4
F#4,B4,5
B4,A#4,-1
A#4,B4,1
B4,G4,-4
G4,E4,-3
E4,D5,10
D5,C#5,-1
C#5,B4,-2
B4,A#4,-1
A#4,E4,-6
E4,C#5,9
C#5,A#4,-3
A#4,E4,-6
E4,C#5,9
C#5,A#4,-3
A#4,E4,-6
E4,F#4,2
F#4,G4,1
G4,F#4,-1
F#4,E4,-2
E4,D4,-2
D4,B4,9
B4,F#4,-5
F#4,D4,-4
D4,B4,9
B4,F#4,-5
F#4,D4,-4
