D3,F3,3
F3,A3,4
A3,F3,-4
F3,E3,-1
E3,D3,-2
D3,C#3,-1
C#3,E3,3
E3,G3,3
G3,A3,2
A3,A#3,1
A#3,A3,-1
A3,G3,-2
G3,F3,-2
F3,E3,-1
E3,G3,3
G3,A#3,3
A#3,C#4,3
C#4,E4,3
E4,A#3,-6
A#3,A3,-1
A3,G3,-2
G3,F3,-2
F3,E3,-1
E3,F3,1
F3,G3,2
G3,A3,2
A3,F3,-4
F3,D3,-3
D3,C3,-2
C3,A#2,-2
A#2,A2,-1
A2,A#2,1
A#2,D3,4
D3,F3,3
F3,A3,4
A3,D4,5
D4,C4,-2
C4,A#3,-2
A#3,A3,-1
A3,G3,-2
G3,F3,-2
F3,E3,-1
E3,G3,3
G3,A#3,3
A#3,D4,4
D4,C4,-2
C4,A3,-3
A3,A#3,1
A#3,G3,-3
G3,F3,-2
F3,E3,-1
E3,G3,3
G3,A#2,-9
A#2,A2,-1
A2,C3,3
C3,E3,4
E3,G3,3
G3,C4,5
C4,A#3,-2
A#3,A3,-1
A3,G3,-2
G3,F3,-2
F3,E3,-1
E3,D3,-2
D3,F3,3
F3,A3,4
A3,C4,3
C4,A#3,-2
A#3,G3,-3
G3,A3,2
A3,F3,-4
F3,E3,-1
E3,F3,1
F3,A3,4
A3,F3,-4
F3,G2,-10
G2,A#2,3
A#2,D3,4
D3,F3,3
F3,A#3,5
A#3,A3,-1
A3,G3,-2
G3,F3,-2
F3,E3,-1
E3,G3,3
G3,A2,-10
A2,C3,3
C3,E3,4
E3,G3,3
G3,C4,5
C4,A3,-3
A3,E3,-5
E3,G3,3
G3,F3,-2
F3,A3,4
A3,D3,-7
D3,D#3,1
D#3,D3,-1
D3,A2,-5
A2,A#2,1
A#2,D3,4
D3,G3,5
G3,A#3,3
A#3,A3,-1
A3,C4,3
C4,A#3,-2
A#3,G3,-3
G3,D4,7
D4,F3,-9
F3,E3,-1
E3,B2,-5
B2,C3,1
C3,E3,4
E3,G3,3
G3,D3,-5
D3,E3,2
E3,C3,-4
C3,A#2,-2
A#2,G2,-3
G2,E3,9
E3,A#2,-6
A#2,F2,-5
F2,A2,4
A2,C3,3
C3,A#2,-2
A#2,A2,-1
A2,G2,-2
G2,F#2,-1
F#2,A2,3
A2,A#2,1
A#2,C3,2
C3,D2,-10
D2,C3,10
C3,A#2,-2
A#2,A2,-1
A2,F#3,9
F#3,D#3,-3
D#3,D3,-1
D3,C3,-2
C3,A#2,-2
A#2,A2,-1
A2,G2,-2
G2,A#2,3
A#2,D3,4
D3,C3,-2
C3,A#2,-2
A#2,A2,-1
A2,G#2,-1
G#2,B2,3
B2,C3,1
C3,D3,2
D3,E2,-10
E2,D3,10
D3,C3,-2
C3,B2,-1
B2,G#3,9
G#3,F3,-3
F3,E3,-1
E3,D3,-2
D3,C3,-2
C3,B2,-1
B2,A2,-2
A2,C3,3
C3,F3,5
F3,E3,-1
E3,F3,1
F3,G#3,3
G#3,A3,1
A3,F3,-4
F3,D3,-3
D3,C3,-2
C3,B2,-1
B2,D3,3
D3,G#3,6
G#3,B3,3
B3,D4,3
D4,C4,-2
C4,B3,-1
B3,A3,-2
A3,G#3,-1
G#3,A3,1
A3,C3,-9
C3,E3,4
E3,A3,5
A3,C4,3
C4,E4,4
E4,C4,-4
C4,B3,-1
B3,A3,-2
A3,G#3,-1
G#3,A3,1
A3,D3,-7
D3,F3,3
F3,A3,4
A3,D4,5
D4,F4,3
F4,E4,-1
E4,D4,-2
D4,C4,-2
C4,B3,-1
B3,D4,3
D4,E3,-10
E3,D4,10
D4,C4,-2
C4,B3,-1
B3,A3,-2
A3,C4,3
C4,B3,-1
B3,A3,-2
A3,D3,-7
D3,B3,9
B3,A3,-2
A3,G#3,-1
G#3,C3,-8
C3,A3,9
A3,G3,-2
G3,F3,-2
F3,C#3,-4
C#3,G3,6
G3,F3,-2
F3,E3,-1
E3,D3,-2
D3,F3,3
F3,E3,-1
E3,D3,-2
D3,G#2,-6
G#2,D3,6
D3,E3,2
E3,F3,1
F3,B3,6
B3,F3,-6
F3,E3,-1
E3,D3,-2
D3,G#2,-6
G#2,D3,6
D3,C3,-2
C3,B2,-1
B2,A2,-2
A2,B2,2
B2,C3,1
C3,E3,4
E3,A3,5
A3,B3,2
B3,C4,1
C4,A3,-3
A3,E3,-5
E3,C3,-4
C3,A2,-3
A2,G2,-2
G2,F#2,-1
F#2,A2,3
A2,C3,3
C3,D3,2
D3,D#3,1
D#3,D3,-1
D3,C3,-2
C3,A#2,-2
A#2,C3,2
C3,A3,9
A3,A#2,-11
A#2,A2,-1
A2,A#2,1
A#2,D3,4
D3,G2,-7
G2,D#3,8
D#3,F3,2
F3,G3,2
G3,A2,-10
A2,G3,10
G3,F3,-2
F3,D#3,-2
D#3,D3,-1
D3,C3,-2
C3,D3,2
D3,F3,3
F3,A#2,-7
A#2,G3,9
G3,A3,2
A3,A#3,1
A#3,C#3,-9
C#3,A#3,9
A#3,A3,-1
A3,G3,-2
G3,F3,-2
F3,E3,-1
E3,F3,1
F3,A3,4
