G5,F5,-2
F5,D#5,-2
D#5,D5,-1
D5,C5,-2
C5,A#4,-2
A#4,A4,-1
A4,A#4,1
A#4,G4,-3
G4,G4,0
G4,F#4,-1
F#4,E4,-2
E4,D4,-2
D4,E4,2
E4,F#4,2
F#4,G4,1
G4,A4,2
A4,C5,3
C5,A#4,-2
A#4,C5,2
C5,D5,2
D5,C5,-2
C5,A#4,-2
A#4,C5,2
C5,C5,0
C5,A#4,-2
A#4,C5,2
C5,D5,2
D5,A4,-5
A4,A#4,1
A#4,G4,-3
G4,A4,2
A4,A#4,1
A#4,C5,2
C5,D5,2
D5,D#5,1
D#5,A#4,-5
A#4,A#4,0
A#4,A4,-1
A4,D#5,6
D#5,D5,-1
D5,D5,0
D5,A#5,8
A#5,F#5,-4
F#5,G5,1
G5,D#5,-4
D#5,D5,-1
D5,C5,-2
C5,A#4,-2
A#4,C5,2
C5,A4,-3
A4,A#4,1
A#4,F#4,-4
F#4,G4,1
G4,D4,-5
D4,D#4,1
D#4,D5,11
D5,C5,-2
C5,A#4,-2
A#4,C5,2
C5,C5,0
C5,A#4,-2
A#4,C5,2
C5,G5,7
G5,F#5,-1
F#5,A5,3
A5,C5,-9
C5,A#4,-2
A#4,D5,4
D5,F#5,4
F#5,A5,3
A5,G5,-2
G5,A#4,-9
A#4,A4,-1
A4,A#5,1
A#5,A5,-1
A5,G5,-2
G5,F5,-2
F5,E5,-1
E5,F5,1
F5,A4,-8
A4,F5,8
F5,D5,-3
D5,D#5,1
D#5,A#5,7
A#5,G5,-3
G5,G5,0
G5,D#5,-4
D#5,D#5,0
D#5,C#5,-2
C#5,A5,8
A5,F4,-4
F4,A5,4
A5,G5,-2
G5,F5,-2
F5,E5,-1
E5,D5,-2
D5,E4,-10
E4,D5,10
D5,G5,5
G5,E5,-3
E5,D5,-2
D5,C#5,-1
C#5,A4,-4
A4,G5,10
G5,D4,-5
D4,G5,5
G5,F5,-2
F5,G5,2
G5,E5,-3
E5,F5,1
F5,A4,-8
A4,A4,0
A4,D4,-7
D4,G4,5
G4,F5,10
F5,E5,-1
E5,F5,1
F5,G5,2
G5,A5,2
A5,A#5,1
A#5,E5,-6
E5,F5,1
F5,G5,2
G5,D5,-5
D5,C#5,-1
C#5,G4,-6
G4,F4,-2
F4,G4,2
G4,E4,-3
E4,F4,1
F4,D5,9
D5,D5,0
D5,C#5,-1
C#5,B4,-2
B4,C#5,2
C#5,D5,1
D5,E5,2
E5,F5,1
F5,G5,2
G5,E5,-3
E5,C#5,-3
C#5,D5,1
D5,D5,0
D5,D5,0
D5,C5,-2
C5,A#4,-2
A#4,A4,-1
A4,A#4,1
A#4,A4,-1
A4,A#4,1
A#4,A#4,0
A#4,A4,-1
A4,A#4,1
A#4,C5,2
C5,D#5,3
D#5,D5,-1
D5,D#5,1
D#5,D#5,0
D#5,D5,-1
D5,C5,-2
C5,A#4,-2
A#4,C5,2
C5,A4,-3
A4,A4,0
A4,A#4,1
A#4,G4,-3
G4,A#4,3
A#4,D5,4
D5,G5,5
G5,F5,-2
F5,D#5,-2
D#5,D5,-1
D5,C5,-2
C5,A#4,-2
A#4,A4,-1
A4,G4,-2
G4,F#4,-1
F#4,G4,1
G4,G4,0
G4,F#4,-1
F#4,F4,-1
F4,G4,2
G4,G#4,1
G#4,G4,-1
G4,F4,-2
F4,D#4,-2
D#4,F4,2
